PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2016-04-19 08:53:55,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ОДС Вологодский ПМЭС",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,85kb,
2016-04-19 08:54:09,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Центр.СВ",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,108kb,
2016-04-19 08:54:20,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Ц.СВ.У 0852",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,107kb,
2016-04-19 08:56:25,panarina,1,1,103_38_HP_2727,"письмо.pdf",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,469kb,
2016-04-19 08:56:35,panarina,1,1,103_38_HP_2727,"Инф-я о вел-не произ-ва.pdf",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,122kb,
2016-04-19 08:58:22,panarina,3,1,103_38_HP_2727,"Microsoft Word - формулировки для включения в реестр_ежегодная актуализация Реестра",PANARINA-EA1,A4,PCL6,,,DUPLEX,GRAYSCALE,191kb,
2016-04-19 08:58:34,panarina,5,1,103_38_HP_2727,"Microsoft Word - Замечения по Сводным таблицам ОДУ",PANARINA-EA1,A4,PCL6,,,DUPLEX,GRAYSCALE,126kb,
2016-04-19 09:11:18,baramygina,3,1,102_38_HP_CLJ_5525,"Microsoft Word - Разрешенные и действующие заявки 20042016",BARAMYGINA-VI,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,250kb,
2016-04-19 09:10:01,zhavoronkov,90,1,102_38_HP_CLJ_5525,"Филатов.pdf",ZHAVORONKOV-VS,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,376427kb,
2016-04-19 09:17:33,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ОДС Вологодский ПМЭС",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,84kb,
2016-04-19 09:17:42,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Ц.СВ.У 0852",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,107kb,
2016-04-19 09:17:51,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Центр.СВ",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,108kb,
2016-04-19 09:21:18,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Ц.СВ.У 0852",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,107kb,
2016-04-19 09:21:36,anokhin-iv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ТПП по ВЛ 500 кВ Ц.СВ.У 0852",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,107kb,
2016-04-19 09:26:50,kovyazin-da,2,1,102_38_HP_CLJ_5525,"Microsoft Word - Документ2",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-04-19 09:43:06,baramygina,1,1,102_38_HP_CLJ_5525,"Microsoft Word - Разрешенные и действующие заявки 20042016",BARAMYGINA-VI,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,111kb,
2016-04-19 09:45:07,balyuk-nn,1,1,103_38_HP_2727,"Информация за 2009 год, раскрываемая ОА...чных рынков электрической энергии (утв",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,753kb,
2016-04-19 09:53:26,smirnova-ei,1,1,103_38_HP_2727,"Microsoft Outlook - Заметка",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,58kb,
2016-04-19 11:16:07,balyuk-nn,11,1,103_38_HP_2727,"Microsoft Word - формулировки по реестру",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,224kb,
2016-04-19 11:19:48,balyuk-nn,2,1,103_38_HP_2727,"Microsoft Word - формулировки по реестру",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,105kb,
2016-04-19 11:22:20,balyuk-nn,1,1,103_38_HP_2727,"1717 с номером(11027690_вх-1717_12_04_2016).pdf",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,741kb,
2016-04-19 11:22:39,balyuk-nn,1,1,103_38_HP_2727,"Microsoft Word - 2016_04_14_НПМЭС_Предоставление информации ВЛ 220 кВ Осиновка-Починки-1 №1(7106661_832_15_04_2016)",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,105kb,
2016-04-19 11:28:39,balyuk-nn,3,1,103_38_HP_2727,"Microsoft Word - 05  Объяснения СО к 21 04 2016 - 1 (003)",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,169kb,
2016-04-19 11:57:55,balyuk-nn,3,1,103_38_HP_2727,"0373100092114000426 Оперативное, диспет...ия «Камбарка» в г. Камбарка Удмуртской",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,1049kb,
2016-04-19 12:59:21,anokhin-iv,28,1,102_38_HP_CLJ_5525,"Microsoft Word - Проект ИПП 0604_РЗА_СЭР_ОДС С Правками",ANOKHIN-IV,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,1080kb,
2016-04-19 13:34:24,zhavoronkov,5,1,102_38_HP_CLJ_5525,"План включения второго пускового комплекса второго этапа 25_03_2016 свод.xlsx",ZHAVORONKOV-VS,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,97kb,
2016-04-19 13:57:54,kovyazin-da,1,1,102_38_HP_CLJ_5525,"Во всю страницу",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,423kb,
2016-04-19 14:00:01,klimov-sa,12,1,102_38_HP_CLJ_5525,"График ОДС 2016 год.xls",TRENAZHER3,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,299kb,
2016-04-19 14:01:11,kovyazin-da,1,1,102_38_HP_CLJ_5525,"Во всю страницу",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,681kb,
2016-04-19 14:23:11,zhavoronkov,33,1,102_38_HP_CLJ_5525,"Microsoft Word - Положение о порядке формирования справочников приложения Интерфейс оборудования ПК Заявки",ZHAVORONKOV-VS,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,2827kb,
2016-04-19 14:32:04,kovyazin-da,1,1,102_38_HP_CLJ_5525,"20 x 25 см (1)",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,682kb,
2016-04-19 14:32:19,kovyazin-da,1,1,102_38_HP_CLJ_5525,"Во всю страницу",INFORMATOR-DOP,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,404kb,
2016-04-19 14:39:00,zhavoronkov,33,3,102_38_HP_CLJ_5525,"Microsoft Word - Положение о порядке формирования справочников приложения Интерфейс оборудования ПК Заявки нью",ZHAVORONKOV-VS,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,2848kb,
2016-04-19 14:45:32,smirnova-ei,15,1,103_38_HP_2727,"new-917_pages.pdf",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,57315kb,
2016-04-19 14:47:43,balyuk-nn,3,1,103_38_HP_2727,"Microsoft Word - ответ Нижегородская РСТ_о предоставлении информации по 1220 (002)",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,193kb,
2016-04-19 14:56:54,smirnova-ei,2,1,103_38_HP_2727,"Microsoft Word - Документ2",SMIRNOVA-EI,A4,PCL6,,,DUPLEX,GRAYSCALE,133kb,
2016-04-19 15:00:20,balyuk-nn,30,1,103_38_HP_2727,"Федеральный закон от 03.11.2015",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,831kb,
2016-04-19 15:45:54,balyuk-nn,2,1,103_38_HP_2727,"Статья: Об электроэнергетике...",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,98kb,
2016-04-19 15:46:13,balyuk-nn,1,1,103_38_HP_2727,"Статья: Актуальные вопросы сове",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,49kb,
2016-04-19 15:51:41,smirnova-ei,80,1,103_38_HP_2727,"Microsoft Word - Документ2",SMIRNOVA-EI,A4,PCL6,,,DUPLEX,GRAYSCALE,3909kb,
2016-04-19 16:14:31,lapin-mv,1,1,102_38_HP_CLJ_5525,"Microsoft Word - вх-8324(12828794_вх-8324_19_04_2016)",LAPIN-MV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,125kb,
2016-04-19 16:36:49,panarina,1,1,103_38_HP_2727,"Microsoft Word - Временное Соглашение о взаимодействии от 18.03.2004",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,76kb,
2016-04-19 16:54:32,martynenkov,1,1,102_38_HP_CLJ_5525,"Microsoft Word - ПАТ CЗ-Ц 1",PODIUM-ODS1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,78kb,
2016-04-19 16:55:38,martynenkov,5,1,102_38_HP_CLJ_5525,"Microsoft Word - ПАТ CЗ-Ц 1",PODIUM-ODS1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,184kb,
2016-04-19 17:03:15,anokhin-iv,24,1,102_38_HP_CLJ_5525,"Microsoft Word - Проект ИПП 0604_РЗА_СЭР_ОДС",ANOKHIN-IV,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,851kb,
2016-04-19 17:05:30,kovyazin-da,2,1,102_38_HP_CLJ_5525,"Microsoft Word - Технар по смене",INFORMATOR-DOP,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,102kb,
2016-04-19 17:42:33,anokhin-iv,2,1,102_38_HP_CLJ_5525,"Microsoft Word - ЕЭС 2016.04.12-04.19",ANOKHIN-IV,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,97kb,
2016-04-19 20:14:44,batov,1,1,102_38_HP_CLJ_5525,"Во всю страницу",DISP-LR,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,837kb,
2016-04-19 20:15:07,batov,1,1,102_38_HP_CLJ_5525,"Во всю страницу",DISP-LR,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,2984kb,
2016-04-19 20:15:29,batov,1,1,102_38_HP_CLJ_5525,"Во всю страницу",DISP-LR,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,995kb,
2016-04-19 20:15:47,batov,1,1,102_38_HP_CLJ_5525,"Во всю страницу",DISP-LR,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,833kb,
2016-04-19 22:40:18,kosarin,10,6,102_38_HP_CLJ_5525,"Microsoft Word - spravinf",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,850kb,
2016-04-19 22:44:31,tikhomirov-ms,14,1,102_38_HP_CLJ_5525,"Инструкция_по_обслуживанию_устройств_РЗ_и_СА_ВЛ_500_кВ_Звезда-Вятка.pdf",DISP-RR,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,18165kb,
2016-04-19 22:44:58,kosarin,13,6,102_38_HP_CLJ_5525,"Microsoft Word - tehnarnedel",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,354kb,
2016-04-19 22:49:33,kosarin,6,1,102_38_HP_CLJ_5525,"Microsoft Word - Папки к селектору",INFORMATOR-REZ,A3,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,115kb,
2016-04-19 23:08:05,batov,2,1,102_38_HP_CLJ_5525,"Квитанции",DISP-LR,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,278kb,
2016-04-19 23:24:49,tikhomirov-ms,16,1,102_38_HP_CLJ_5525,"Инструкция_ПА_Центр-Урал_(правка_21-01-2016).pdf",DISP-RR,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,18308kb,
2016-04-20 00:24:55,kosarin,1,5,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,661kb,
2016-04-20 00:24:57,kosarin,1,3,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1107kb,
2016-04-20 00:25:00,kosarin,1,5,102_38_HP_CLJ_5525,"RMAES.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1177kb,
2016-04-20 02:20:00,kosarin,23,1,102_38_HP_CLJ_5525,"Microsoft Word - чистка швов",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1769kb,
2016-04-20 03:13:14,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:18:21,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:18:23,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:18:26,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:18:28,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:18:31,kosarin,9,1,102_38_HP_CLJ_5525,"obm_svod.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,1208kb,
2016-04-20 03:28:11,kosarin,1,3,102_38_HP_CLJ_5525,"Ремонтная площадка.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,73kb,
2016-04-20 04:08:58,kosarin,10,11,102_38_HP_CLJ_5525,"Microsoft Word - raport",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,305kb,
2016-04-20 06:01:45,kosarin,2,1,102_38_HP_CLJ_5525,"Backup_Editform4iss.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,87kb,
2016-04-20 06:07:58,kosarin,1,5,102_38_HP_CLJ_5525,"Режим работы ЕЭС за 19 04 16.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,118kb,
2016-04-20 06:08:00,kosarin,2,5,102_38_HP_CLJ_5525,"form4iss.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,87kb,
2016-04-20 06:08:03,kosarin,3,1,102_38_HP_CLJ_5525,"Line200416.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,77kb,
2016-04-20 06:08:05,kosarin,1,1,102_38_HP_CLJ_5525,"Oborudovanie200416.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,69kb,
2016-04-20 06:10:43,kosarin,24,2,102_38_HP_CLJ_5525,"form1A.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,368kb,
2016-04-20 06:11:33,kosarin,10,4,102_38_HP_CLJ_5525,"Backup_Editform1iss.xls",INFORMATOR-L,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,302kb,
2016-04-20 06:29:00,kuznetsov,4,1,102_38_HP_CLJ_5525,"Microsoft Word - РАПОРТ-2 (восстановлен) (Автосохраненный)",DISP-CR1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,228kb,
2016-04-20 08:35:22,kovyazin-da,3,1,102_38_HP_CLJ_5525,"Microsoft Word - РАПОРТ_география",INFORMATOR-REZ,A4,PCL6,,,DUPLEX,NOT GRAYSCALE,118kb,
2016-04-20 08:58:02,panarina,1,1,103_38_HP_2727,"Microsoft Word - Документ2",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,82kb,
2016-04-20 09:03:32,baramygina,3,1,102_38_HP_CLJ_5525,"Microsoft Word - Разрешенные и действующие заявки 21042016",BARAMYGINA-VI,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,235kb,
2016-04-20 09:05:34,panarina,9,1,103_38_HP_2727,"Scan.pdf",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,682kb,
2016-04-20 09:08:12,panarina,3,1,103_38_HP_2727,"скан_диплом.pdf",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,7343kb,
2016-04-20 09:13:51,panarina,1,1,103_38_HP_2727,"2-НДФЛ 2015.xls",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,79kb,
2016-04-20 09:14:03,panarina,1,1,103_38_HP_2727,"2-НДФЛ 2016.xls",PANARINA-EA1,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,79kb,
2016-04-20 10:33:00,lapin-mv,1,1,102_38_HP_CLJ_5525,"Visio-Фотографии диспетчеров.vsd",LAPIN-MV1,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,9kb,
2016-04-20 10:37:28,rozanov,2,1,102_38_HP_CLJ_5525,"График 1.xlsx",ROZANOV-ME,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,750kb,
2016-04-20 10:40:03,rozanov,1,1,102_38_HP_CLJ_5525,"График 2.xlsx",ROZANOV-ME,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,335kb,
2016-04-20 10:40:35,smirnova-ei,6,1,103_38_HP_2727,"вх-8032(12806091_вх-8032_14_04_2016).PDF",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1206kb,
2016-04-20 10:42:23,smirnova-ei,3,1,103_38_HP_2727,"Microsoft Word - report",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,134kb,
2016-04-20 10:43:45,smirnova-ei,1,1,103_38_HP_2727,"Microsoft Outlook - Заметка",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,130kb,
2016-04-20 10:58:20,balyuk-nn,1,1,103_38_HP_2727,"presentation_ru_2016.pdf",BALYUK-NN,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,1071kb,
2016-04-20 11:15:09,smirnova-ei,6,1,103_38_HP_2727,"Протокол совещания в МЭ по гос контролю-виза Павлушко С А .pdf",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,9007kb,
2016-04-20 11:24:08,smirnova-ei,1,1,103_38_HP_2727,"Microsoft Outlook - Заметка",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,59kb,
2016-04-20 11:24:49,smirnova-ei,20,1,103_38_HP_2727,"FZ-pravki-v-294-FZ.pdf",SMIRNOVA-EI,A4,PCL6,,,DUPLEX,GRAYSCALE,21185kb,
2016-04-20 11:25:25,smirnova-ei,2,1,103_38_HP_2727,"вх-18873(11402016_вх-18873_28_08_2015).pdf",SMIRNOVA-EI,A4,PCL6,,,NOT DUPLEX,GRAYSCALE,2102kb,
2016-04-20 11:34:35,balyuk-nn,6,1,103_38_HP_2727,"Microsoft Word - Ответ на Запрос РЭК Красн края",BALYUK-NN,A4,PCL6,,,DUPLEX,GRAYSCALE,236kb,
2016-04-20 11:36:00,smirnova-ei,100,1,103_38_HP_2727,"Microsoft Word - Проект ФЗ ГМКН по инструкции 10-09-2015-получен от МЭ 21 09 2015 (002)",SMIRNOVA-EI,A4,PCL6,,,DUPLEX,GRAYSCALE,1988kb,
2016-04-20 12:41:07,kovyazin-da,1,1,102_38_HP_CLJ_5525,"about:blank",INFORMATOR-REZ,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,59kb,
2016-04-20 13:05:53,klimov-sa,18,1,102_38_HP_CLJ_5525,"Microsoft Word - 15.04.2016",TRENAZHER3,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,449kb,
2016-04-20 13:06:10,klimov-sa,18,1,102_38_HP_CLJ_5525,"Microsoft Word - 15.04.2016",TRENAZHER3,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,449kb,
2016-04-20 13:06:21,klimov-sa,18,1,102_38_HP_CLJ_5525,"Microsoft Word - 15.04.2016",TRENAZHER3,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,449kb,
